human_uniprot	cattle_uniprot
Q8IZD4	F1MLY3
Q96A54	Q3T0U4
P59923	G3MWL9
Q9NQR7	G3MZ37
O43448	A2VDT0
O15533	Q2NL04
P45985	A5PJP8
Q7KZN9	Q08DG6
Q9H2A9	C0LMH8
P31483	A0A3Q1M885
P17050	Q1RMM9
Q9BY41	Q0VCB2
Q9UH77	F1MBP6
Q92643	Q3MHZ7
Q5VWT5	F1MCE3
P61163	F2Z4F0
Q9BY67	Q2TBL2
Q96JF0	A5D7T4
Q6AZY7	F1MMG6
Q9BRX2	A0A140T849
Q9BRX2	Q58DV0
O00445	A4IFJ2
O60443	E1BFC3
Q9BT04	E1BBF8
Q7LC44	G5E5R8
Q3KQU3	A0A3Q1LNR7
P14314	Q28034
Q5VWP2	G5E6N3
Q8IV20	E1BM13
Q9Y575	Q08DV6
Q9Y575	F1MN41
O14978	F1N176
Q9NR46	Q08DK5
Q969W1	Q58CU4
Q9H0X4	Q2HJE5
Q9UKX7	F1MZD9
P21283	P21282
Q16654	A6QR49
P51606	Q2KIS1
Q86U70	A0A3Q1M323
P32754	Q5EA20
P15088	E1BK06
Q96M02	E1B835
Q92186	A0A3Q1LM08
Q6YN16	A4FUZ6
Q93097	A6H6X8
Q96DU9	F1N4Q4
A6NKL6	G3MZJ8
Q8N3G9	F1N408
P36957	P11179
P36957	A0A3Q1MHE5
Q96P66	F1MDI5
Q9BR77	A0A3Q1LNM9
Q9BWV7	Q0IIC7
Q96AN5	Q32PH2
Q9H2C0	A0A3Q1M674
Q86V24	Q32KM7
Q8IYP9	E1BC01
Q9NYS7	Q0V8J1
P58335	Q08DG9
Q9Y6Q6	F1MTC1
P09110	Q3ZC41
O60906	F1N588
Q8N7B9	F1N057
Q8WU08	A0A3Q1MNB4
Q5EBL4	Q17QG3
P14136	Q28115
P62068	F1MZM8
P50406	E1BE22
Q495M9	E1BFU2
P17302	P18246
Q8NEZ2	Q29RR7
Q92806	A0A3Q1MHN1
O95678	Q08D91
Q96P11	A6QQR1
O60268	E1BGF1
Q02643	Q9TUJ0
Q9Y303	A7MBC0
Q99574	E1BCA5
Q13882	E1BNA8
Q8IZ08	E1BBJ9
O95319	E1BIM7
P55345	A0A3Q1MDD1
P15863	F1MH87
Q7Z6K3	F1N382
Q15818	E1BIM6
O00716	F1MYH2
Q6ZSB9	E1BHF9
O60669	Q2EF45
Q9Y5X3	Q3ZBM5
P38432	F1MEL4
P22894	G3N0J0
O75317	A5D9H7
O60884	Q2HJ94
O15131	F1N1K5
O75600	Q0P5L8
Q9P0V9	Q2KJB1
A6NN90	F1N0V3
Q63ZE4	E1BGE4
Q400G9	E1B9T4
Q96NT5	Q05B81
Q6IQ20	Q58CN9
Q86UU5	E1BJE5
Q9Y2S7	A5D9H9
Q8IWS0	Q08DR0
O00461	E1BAB5
P51575	E1BIP1
Q9Y4P1	Q6PZ03
P21128	A0A452DJC8
Q96NN9	A0A3Q1M0Q2
Q9UPM6	E1B8I6
P56373	F1N7A9
O75462	A0A3Q1MQM6
Q8TD17	E1BNM7
Q3B8N5	F1MW85
Q9BW04	A5D7K1
P78396	F1MVR8
P31415	Q05JF3
Q9Y6F1	E1BD56
O94919	A7YY77
P50750	Q5EAB2
Q14254	A6QLR4
P51553	Q58CP0
Q02040	A0A3Q1MKH2
Q9NYM4	F1MX56
Q16644	Q3SYZ2
Q9H5V7	A4IFJ6
Q504T8	A0A3Q1MNV0
P57723	Q0VCU0
Q9Y2M5	Q08DK3
Q8IXX5	Q5EA86
Q99447	Q5EA75
Q3B7J2	Q5BIP5
Q8TBH0	A2VDR7
Q2M2Z5	A0JNH1
Q9Y231	F1N751
P78381	Q8SPM1
Q8IVH4	A6QQI8
Q8N490	A7YY46
P08729	Q29S21
Q13561	Q3ZCF0
P31350	E1BI58
Q969S3	F1N194
Q9Y6R9	A0A3Q1MHU1
Q9HB90	Q0VD29
Q9H040	A5D979
Q86UY5	E1BMR2
Q8NHP7	E1BDE2
Q9P272	Q08DH3
P07550	Q28044
A6NHL2	G5E6J5
Q9BSE4	Q0P5H8
Q96B23	A0A3Q1MJK5
Q12836	Q9BH11
Q99719	Q0VC68
Q6UN15	E1BKM0
P51172	F1MY57
Q07092	G3MXK9
P49753	A6QQA9
Q9Y577	F1MRB0
P25929	Q1RMU8
Q9NS86	A6QPG6
Q9NQ40	Q5E9R1
Q495M3	E1BGG5
Q9NZJ7	A7YY65
Q9H999	Q08DA5
Q92844	F6R2Z7
Q8IYB5	F1MU99
Q8N7W2	F1MFZ0
P42025	A4IFE3
P62191	A0A3Q1LUA4
P43694	F1N551
Q13118	D0VZF7
O75529	F1N575
Q9UGK8	Q3MHW0
P22830	P22600
Q2WEN9	A0A3Q1LRQ9
O76013	F1MI98
Q16829	A6QLS1
Q9UNP4	Q70D51
Q8TCW9	A0A3Q1MBU5
O60260	G3MY23
Q53EZ4	E1B8M0
Q9H4B0	E1BHC5
Q8N8W4	A0A3Q1M7Z1
Q14728	Q0P5M9
Q9P0W8	A0A3Q1MV04
Q86UC2	A8E4N3
P29083	A6QLI8
O60481	E1BJR9
Q5T4F4	Q5BIM5
Q00G26	A6QLL0
O43347	A2PYH9
Q86VN1	F1MT69
Q9UQ49	F1MRJ3
Q9UQ49	O97859
Q9C037	A0A3Q1LVT3
P30550	E1BL07
Q9NXE8	F1MER3
O60383	Q9GK68
Q562R1	A0A3Q1NKP5
Q9BY10	Q58D30
P32929	A0A3Q1M2L1
O95067	O77689
P55055	Q5BIS6
P39748	Q58DH8
Q99519	A6BMK7
Q9BS91	A6QPI1
O75298	Q0P586
Q9NQX1	F1MFG2
P78508	A2VDQ4
Q5VZM2	G5E5G3
Q9C0D0	A0A3Q1LPU4
Q9BY77	A7YW33
Q9H074	A5PKG2
Q9ULV8	A6QPZ5
Q9Y5X4	F1ML62
Q6UWP7	A0A3Q1LJ33
Q16566	A0A3Q1M5T5
Q8NFQ5	F1MJS1
Q9UNM6	Q5E964
Q9UGV2	A7MB28
A8MPX8	F1MDF9
O95671	G3MY50
Q96SF2	F1MY24
P16157	F1MQL2
Q8NBI5	Q1JPD8
P55316	A0A3Q1M4G0
Q9UHK0	E1BEZ5
P48048	A0A3Q1N684
Q8N2R8	E1BFN0
Q6ZNG9	A0A3Q1M6X5
Q9NY97	A7YY64
Q9Y5X5	F1MXG2
Q96K37	F1ML50
O60320	F1N2E3
Q9BTV4	A0A3Q1M1M5
P28482	P46196
Q9BUB5	F1N1A8
Q92546	F1MND0
P01100	O77628
Q9NRZ7	G5E5P6
Q8NEF3	F1N4A5
Q9HAW0	Q29S07
O14793	O18836
A0A096LP49	F1MDL7
Q5M8T2	E1BNY6
Q6VUC0	E1BM80
P28330	Q08D92
Q5VZ18	F1N7A7
Q6DJT9	E1BEA5
Q9H7B4	Q0P5C5
O96014	F1N4C0
Q96MZ0	Q1JPF3
Q9UN37	G3X8E2
Q96EE3	A7YY75
O43173	A0A3Q1LZS9
Q7L2H7	A0A3Q1MNJ2
Q7L2H7	F1N5F7
Q8N4J0	E1BJC0
Q96C00	F1N7I1
O75564	A0A3Q1LNP8
Q96ST2	E1BFW2
Q6ZNI0	E1BN51
Q6RFH5	Q58D06
Q12805	A2VE41
Q14654	A2VDS4
Q9H7Y0	F1MBN4
Q96S82	Q5EA29
O00755	F1N6L8
Q86UE6	A1A4H9
P05783	F6S1Q0
Q96JP5	F1MV04
Q14344	G5E6P3
Q9NR56	A0A3Q1MEJ9
Q9NY57	F1MJA3
P19544	A0A3Q1MKE3
Q13639	A0A3Q1MLD1
Q9NPC7	Q3B7N9
Q9UBR4	Q2TEA4
Q8NCK7	G3MZ44
Q8NCH0	A3KMX1
O43586	A0A3Q1N8Q0
Q6ZMT1	E1BDE0
Q8N594	F1MYW5
Q9Y295	Q3MHP5
P41145	Q2KIP6
Q01094	E1BG94
Q99972	Q3SX06
Q8NG68	F1MMA2
Q13303	Q27955
Q03113	E1BIL1
P42768	A0A3Q1NCB1
P23142	A0A3Q1MJB2
Q15113	Q2HJB6
Q9HBG7	A0A3Q1MKN9
Q8N126	A0A3Q1M7P7
O00629	A0A3S5ZPE0
Q96C92	A0A3Q1M6G8
Q6W3E5	F1MTT5
Q13394	A4FV14
Q9UBD6	A0A3Q1M0T1
Q9UBD6	Q2T9S6
Q9BTE6	Q32LK1
Q9BZW5	F1MH69
Q9UKT6	Q3ZBA7
Q9GZS1	Q3SZ29
P09543	P06623
Q96A47	E1BM60
Q96RQ1	Q0IIJ1
O43820	A0A3Q1NH73
Q9UIJ5	G3MXF3
P81274	E1BIX7
Q6UX68	E1BJ07
O00622	A0A3Q1LRR3
Q8NAX2	A5PJK4
Q8TDV0	F1MY87
Q9NPH0	A6H757
Q86VE9	A0A3Q1LF32
Q8NHU3	E1BNX6
Q7Z3Q1	A5D7V7
O15204	F1MJP4
P78552	G3X7E9
P19474	Q7YRV4
Q14457	Q4A1L4
Q08AI6	Q5EA97
Q8ND82	F1N3D2
Q8WWW0	E1BN06
P78412	E1BPC7
Q05215	F1MAU9
Q9H161	E1BA64
P81877	Q3MHW3
Q6ZVX9	Q0II88
Q6ZVT0	F1N325
Q2M2I3	G3MYY9
Q9UL52	F1N633
Q9NZ09	A0A3Q1MPI2
P47872	A0A3Q1M5G0
Q14626	A0A3Q1LUS3
Q7Z5Y6	G3MXA3
Q9H300	A0A452DJF2
Q9H300	Q2KHV4
Q9UBV4	A0A140T847
Q9Y484	Q0IIH0
P11766	Q3ZC42
B1AL88	A4IFM1
P02533	F1MC11
P16219	Q3ZBF6
Q96PP8	Q0IID3
Q9Y2T5	A6QLE7
Q9HDC9	Q3T0E5
P09603	A0A3Q1LMK4
Q9HB40	Q2NKZ9
Q9BZE1	A4FUC0
Q8WVQ1	A0A3Q1M2J3
Q14142	F1MMN0
O95084	Q1LZE9
Q9BYJ4	Q29RL3
Q9Y639	A0A3Q1LL79
Q9UKT4	A0A3Q1M5V7
Q2TAK8	Q08DK9
P10644	P00514
P47900	P48042
Q9Y3X0	F6QX85
Q9Y586	G3MXA1
Q6UXG8	A6QPT8
Q53TS8	E1BEA6
O00635	Q58DK8
Q5T5M9	E1BF22
Q96Q40	A0A3Q1LLH8
Q6P6C2	A0A452DJ48
P51398	P82922
P51398	A0A452DHU5
P05455	P10881
P78406	Q5E9A4
Q6UWV6	F1N1R7
Q15942	Q08DQ6
Q13585	E1BDC1
O14958	Q3MHM1
Q9NVD7	A0A3Q1LMM6
Q6BAA4	E1BLS7
Q8WW22	F1N6Q0
Q8WUU4	E1BA69
Q9Y2P8	Q2KHX8
A6NK59	G8JKY1
P30989	F1MWG2
P17029	E1BIL7
Q3B820	E1BHZ3
Q7RTN6	Q5E9J9
A6NNN8	E1BDA4
Q8TCT6	G3MWR0
Q9BT81	A0A3Q1LUX0
Q6NW40	F1MFY9
Q9H069	A0A3Q1MEH8
P15086	P00732
Q8TE76	A0A3Q1M486
Q8IZF4	A0A3Q1LN02
Q18PE1	A0A3Q1N321
Q96J01	Q29RH4
Q15035	E1BCM2
O75363	A0A3Q1LQB6
Q9UEE5	G5E5A0
O75783	F1MEJ0
Q99983	G3X6Y4
P10915	P55252
Q15007	F1MN80
Q9NVD3	E1B906
Q99712	A5PJL2
O43766	Q5BIP7
Q96NL0	Q08E29
Q96T53	E1BAE4
P52788	Q3SZA5
Q9GZZ9	A7MAZ3
Q02818	A0A452DHZ5
P14651	A5PKI4
Q9Y5K1	E1BMM6
P82675	Q2KID9
Q9H000	F6QQR5
Q9NPE6	A0A3Q1LN66
Q6NT16	A0A3Q1MSH5
Q99677	A4IFV1
P61371	A6H796
Q9Y312	Q08DJ7
P06280	E1B725
Q9NRZ5	Q5E9R2
Q9NRZ5	Q5EA60
P54687	A0A3Q1ML78
Q9NZU5	Q17QE2
Q8TE12	F1MC25
P61962	Q32L87
P26992	F1MLR4
Q5M7Z0	F1MDV4
Q9UKU7	Q0NXR6
P07093	Q8HZY1
Q9NS67	A0A3Q1M8P3
P15085	P00730
Q8N5Z0	Q5E9N4
Q14094	A4FUE4
P15391	F1N586
Q6P499	E1BLE7
Q13510	Q17QB3
Q13505	A0A3Q1LXL8
Q6UX72	Q17QZ8
Q9NPC2	G3N1D1
Q96NM4	F1MPI6
Q15011	A0A3Q1M0Y3
A2CJ06	G5E6I8
Q9Y570	Q58DN4
Q12946	F1MBH4
Q96QZ0	E1BF03
Q969P5	Q2KHT6
Q92604	A4IFP8
Q8IUS5	A0A3Q1LVK8
Q9Y5N1	F1MML8
Q8TF50	A6QR00
Q68G74	E1BBB7
Q6SPF0	A0A3Q1N125
Q99952	F1MDF1
Q15629	Q9GKZ4
Q13427	A8E658
Q2VYF4	E1B9Z2
Q6ZWK6	F1MSG9
Q14012	F6RXS3
Q3YBR2	F1N0F3
P09544	A4D7S0
Q96EB1	Q2TBH6
Q9UBS4	Q3ZBA6
P42765	Q3T0R7
Q9UF56	A0A3Q1LUD8
Q12934	Q06002
P30988	F6Q8B6
Q9UKT5	Q3T0J1
Q8NCB2	Q08DK8
P49137	A0A3Q1M614
Q9Y6F9	F1MN70
Q9NYB9	A0A3Q1MP86
Q9NQS5	Q2KI97
Q9ULX3	F1MDA9
Q9ULX3	Q3T042
Q92185	A0A3Q1N8K2
P49146	B1H0W3
P49146	P79113
Q9BXU7	G5E5Q9
Q69YU3	F1MBJ0
Q9P0M6	Q1LZ92
Q86UX6	F1MLL2
P36955	Q95121
Q9NYZ3	F6Q0H8
Q99571	Q5E9U1
Q12972	A4FUE1
Q9UGU5	A0A3Q1M556
Q12889	Q28042
P78334	G3MWU9
Q9HBY8	A0A3Q1MCB9
Q9BV87	Q5E9J2
O60547	Q3ZBY8
Q8N0V5	A0A3Q1N1F3
Q969V4	Q32KZ9
Q99726	Q08E25
Q6NVV3	E1BD04
A8K0Z3	A7Z063
P50213	Q148J8
Q92633	A0A3Q1M9C6
Q9NRS4	F6PZT6
Q92187	F1MVI9
Q8NFB2	F1MED5
Q6A163	F1N3T1
P09972	A0A3S5ZPB0
P50148	E1BA29
P48165	F1MHI7
Q9BUB4	A0A3Q1M4D0
Q16254	F1MBE6
Q9UKS6	E1BK71
Q9NP92	P82924
Q9Y397	Q58DA8
P19784	F1MJ55
P04070	A0A3Q1M616
Q9NPF2	F1N663
Q12926	A0A3Q1M269
Q8TEA1	F1MC44
O43581	F1N4J4
Q8IYS0	A6QPS2
A8K8P3	A0A3Q1NA26
Q9Y663	E1BNJ7
Q9UHG0	F1MS44
O43837	O77784
P45954	Q5EAD4
Q53HC9	G3N094
Q7Z3Y9	A6H712
Q5VVM6	E1BFX8
Q16690	F1MQM7
O43251	A6QPR6
Q01101	A6H7J1
Q99961	Q2KJA1
Q6IQ21	F1MPW3
Q86XS5	B2Z4B3
Q99487	P79106
Q2TAL5	Q2KI85
Q2TAL5	A0A452DJ10
Q5SGD2	A0A452DJG0
P00742	A0A452DIP8
P00742	P00743
Q15759	G3X793
P10074	E1BPM6
O14965	Q2TA06
P29279	O18739
Q969H0	F1MNN4
Q9Y592	A0A3Q1MRT2
Q502W7	F1MCS6
Q8NBU5	F6QV99
P32745	G3MWT4
Q92968	Q0P5B1
P53367	A0A3Q1LN78
Q96G42	G3MX47
Q15633	Q0IIG6
Q9Y5B8	Q5E9Y9
Q9NWT6	F1MG82
Q9UH03	Q08DM7
Q7L311	Q1RMT5
P56589	F1N5H3
O43824	A0A3Q1LKD2
O43670	A0A3Q1MH99
Q86T13	Q148M5
Q5VXJ0	F1MSA3
P40222	E1BGS4
Q86YH2	F1MJT5
O60711	A0A3Q1M750
Q92804	E1BGX1
O75616	A5PK43
O15231	E1BP80
Q8N5J2	Q2KJ22
P55039	Q58D56
Q08752	P26882
P21453	Q5E9P3
P30679	F1N2V3
Q8NBS9	A0A3Q1LUG9
Q16842	Q6H8M9
Q86Y34	F1MN89
Q7Z3B1	A0A3Q1MKY1
P38405	A0A3Q1M3D6
Q8NES3	Q2KJ92
Q9NQZ2	F1MSF6
Q86V25	F6PTR8
Q9H1N7	E1BLS0
A4D126	E1BCH6
A6NCL7	E1BQ20
Q05048	A0JN63
Q7LGA3	A0A3Q1M8D2
Q6PI77	A0A3Q1LNL2
P28336	E1BMN4
P17612	P00517
Q15782	A0A3Q1NM83
Q13148	G3MX91
P30872	E1BFV6
O60870	E1BND1
P54274	Q3MHY0
Q96AC6	A0A3Q1NKT4
P07902	Q58CX1
Q02127	Q5E9W3
O75900	Q2TBM7
Q8TF44	G3N2V3
Q8NEA6	A0A3Q1LWS6
Q9H0G5	Q2KIC0
Q13686	F6RQT4
Q8WWR8	E1BMN0
P24864	E1B9U2
P04899	A7MBH9
Q14318	A0A3Q1M3S6
P61421	P61420
Q9HAS0	E1BCP5
P49335	F1MNK3
O75936	F1N4U6
Q02509	E1BG04
Q6VVB1	F1MZH1
Q9NR45	Q1RMX7
P63096	P63097
Q9Y573	E1BIL6
Q8NFL0	A0A3Q1LVP5
A0PJZ3	A0A3Q1MFW1
Q96C03	F1MGZ0
Q9P0J7	Q1LZE1
P17181	Q04790
O14649	A0A3Q1MT89
Q99986	Q32PI1
Q68D86	A0A3Q1LU25
P41143	F1N083
Q96PD7	Q70VZ8
P48059	F6QGZ0
Q9UHR6	Q2TBW5
P18627	A0A3Q1LYZ8
O60704	Q3SYY2
Q8IXJ6	F6QK60
P24468	Q9TTR7
P35790	A0A3Q1LRY5
Q8N9S9	E1BDG2
O14979	F1N2T0
Q5MNZ6	F1MW27
Q86WG3	A2VE75
Q9H7F4	Q08DE2
P00749	Q05589
O14764	A0A3Q1LQH4
O75469	A2VDU4
Q9UK05	E1BBN3
Q64LD2	A0A3Q1NBM5
Q5TID7	F1MKX2
P19883	P50291
Q5T9C9	Q17QS4
Q96G97	Q5E9P6
Q96G97	A0A3Q1NNA0
P50995	P27214
O60883	Q17QD8
O60883	A0A452DIK5
Q8N9L9	A0A3S5ZPS3
Q8IYX7	A0A3S5ZPV0
Q96MX6	Q29RZ9
Q96DV4	Q3ZBF3
O95388	F1MS46
P40938	Q2TBV1
Q8N3J5	Q2PC20
P36507	A0A3S5ZPX3
Q5JRV8	A4IFG3
Q9Y278	E1BKQ1
Q9H4A9	E1BIR2
Q8NC74	E1BI77
Q9H814	Q3MHI4
O95630	Q17QR2
Q2UY09	A0A3Q1LYA4
P05546	F6R4P6
Q9NUQ3	G3X6A9
Q6ZUG5	F1N0A5
Q9BTD8	A0A3Q1M222
O43148	F1MHQ5
P09471	P08239
Q99689	A0A3Q1LPS3
P19419	F1MT98
Q8NEZ5	A5PJX0
P38159	D3JUI8
Q96RU8	A6QLF4
O75674	A0A3Q1M456
P46093	Q1JQB3
A6NJ78	A0JN95
Q8IVM8	Q2KIV1
Q92597	A0A3Q1LW82
Q96K80	A0A3Q1M6B8
Q6NUJ5	F6QPT2
Q15070	Q3SYV3
Q9UDX3	A0A3Q1LYF4
Q12905	F2Z4E7
Q3MIR4	F1MPT8
Q6ZSG1	F1MJP2
Q9UH62	E1BE36
Q8WWH4	Q8WMX8
Q8N635	E1BA02
P41146	A0A3Q1LWC2
O95125	E1BM18
O00294	E1BHT9
Q6B0I6	E1BB12
Q969Z4	F1N3F7
Q2M3D2	E1B7F2
O94768	F1MSI1
Q9UHL4	A6QNX2
Q16539	A0A3Q1LTT9
Q9BWD1	Q17QI3
O76009	A0A3Q1MPF8
O76009	Q148I8
Q15323	A0A3Q1MPF8
Q15323	Q148I8
P12035	A0A3Q1MYR8
O43414	A6QLH5
O43414	A0A452DIL7
P07339	F1MMR6
O15264	Q5E9Q6
P29992	P38409
P09086	G5E5B3
P22694	P05131
Q99873	A0A3Q1MR38
P51843	G5E5I7
Q96A09	Q29RH2
Q13105	E1BDX4
Q9BZS1	A0A3Q1M4M2
P51608	G3MYE7
Q9NS00	Q0VC84
A6NI56	A0A3Q1M0Y9
Q0D2K0	E1BDX3
Q6VVX0	A0A3Q1MPH7
P13489	Q3SZN8
Q3SY00	A5D7I0
P52747	A6QQW0
O95072	E1BL69
Q7L099	E1BNY5
Q9NXW2	F1MII1
P02790	Q3SZV7
P02790	A0A452DI25
Q8TD10	A0A3Q1LQD6
Q6ZMJ2	A5PJQ2
O43639	A6H720
P05423	Q5E9Z7
Q6DWJ6	F1MZI4
O75995	A0JN71
P18428	F1MNN7
Q7Z4I7	Q2KJ33
P08754	Q3ZCA7
Q9NZH0	Q1JPD9
P16871	E1BPM3
P26378	A0A3Q1NC70
Q6U736	E1BNN4
O95995	A5D7M3
P85298	F1MYQ4
Q96P26	F1ML59
Q9UEG4	F1MTC4
Q14576	A0A3Q1M098
P21452	P05363
P06132	E1BEX4
Q96FE5	F1MBT2
P15907	A0A3Q1M347
Q96T25	G3MXH4
Q8N6M5	Q2KIG4
P49767	Q9XS50
Q96MX3	A6QQT2
Q8IUQ0	E1BE20
P29536	A4IFK3
Q5T2R2	F6RJN8
Q9NV96	Q17QL5
O43427	Q2YDE0
Q9NZK5	F1N144
Q96I15	A2VDS1
Q5VZF2	A0A3Q1M797
Q15365	Q5E9A3
P28562	F1MI99
O00442	Q2HJ88
Q9Y259	A0A3Q1MPV1
Q8NCD3	E1BB33
Q9NPF8	F1MZC2
Q9BSI4	A3KN17
Q5W0U4	F1MKU3
Q96AG3	H7BWW1
P28566	F1MB93
Q9Y3F4	Q5E959
Q9BYV8	F1MUG2
Q70YC5	A0A3Q1MAF7
Q86YR5	A0A3Q1MKT3
O60256	A2VDS0
A4D1E9	A0A452DJB3
Q15198	Q5BIP2
Q9UKL0	F1MKY8
Q8WXA8	G5E5J6
Q9H8Y8	A0A3Q1MS08
Q9NX62	A0A452DIR7
Q9Y617	A0A3S5ZPF7
Q9H1U4	F1MLU6
Q9NWQ8	F1MQC1
Q8IWX5	A0A3Q1N0W7
Q6UWY5	F1N583
Q9NZP8	F1N1S6
P30556	P25104
Q9NUE0	G5E6N4
P30939	F6R5F6
Q8N3Z6	F1MUH8
P18146	Q29W20
Q9HC36	E1BBM0
Q5VXI9	G3MVZ9
O15375	G3X6A0
Q8N8R5	E1BAD1
Q96EP5	A0A3Q1M8V6
Q9BTF0	E1B8U2
Q8N371	Q1JP61
P09913	F1MQW8
Q9GZX3	E1BK55
Q5VUD6	F1MFB4
Q9UBC1	Q5EAC4
Q8IUF1	E1BFK3
O60684	Q0V7M0
P04198	F1MS90
Q07065	F1ME65
P11161	G3N0C9
O43813	F1MVX2
O15382	Q5EA40
Q9GZT9	A0A3Q1M2B6
P51570	A6H768
P0DPA2	E1BBP5
Q8NCC3	Q8WMP9
Q9H4B6	F1N6E1
P49366	Q6EWQ6
Q8NBK3	Q0P5L5
Q9H6S1	Q3SYW5
A6NKP2	F1MC60
P48728	P25285
Q9H6Y2	Q58DT8
Q04695	A0A140T867
Q15916	A0A452DK81
Q15916	Q0V8G8
Q9NR50	A5PJI7
Q3SXY8	F1MNI8
Q68CQ7	Q5E9E7
O43681	A5PJI5
P17706	A0A3Q1MPM2
P50052	G5E6F7
Q32MZ4	A0A3Q1MQF7
Q9UBL9	E1BIH1
Q5T2D3	E1BDM3
Q0ZLH3	E1BK64
Q9UNZ2	Q3SZC4
Q9HAT1	E1BJ99
Q9ULJ1	Q0VBY1
P30874	P34993
P32248	A0A3Q1MC05
P32248	Q5MD62
Q00325	P12234
O95954	A0A3Q1MBB6
Q16816	A0A3Q1M0J3
P30559	P56449
Q9BVC3	F1MTU0
Q9GZN0	E1BHN7
Q8IV13	A0A3Q1LV46
P20749	E1BCE6
Q66K41	A0A3Q1LQL3
Q6NXP0	E1BCB9
Q9UJM3	A0JN98
O60909	F6RJ53
Q16630	Q0P5D2
Q9H116	E1BIC9
O75167	F1MK25
Q9GZP0	A4IFC0
P04000	Q9BGI7
Q9P2B7	F1MSC2
Q9P2B7	Q2KJH5
Q9UBX5	Q5EA62
O60928	E1BN00
Q5EBL2	F1ML21
Q6ZN18	A4FV57
Q7L8J4	Q0V8K7
P11488	P04695
Q9UJT2	F1MIE9
Q8NFJ6	Q8SPN1
P19086	A0A3Q1MM27
Q6AI12	A6QQP9
Q16581	A4IFF5
Q7L985	G3N1F0
Q9NXR8	E1BQ25
Q99679	A4IFF0
O95409	F1N0D7
Q15906	Q5E9F6
O95837	P38408
Q9UN36	Q3ZBA8
Q8N1N4	A6QNX5
O43364	F1MD21
Q494V2	A0A3Q1MG30
P36952	A0A3Q1NLS8
Q9Y330	F1MXC9
Q9H0V9	Q2HJD1
Q86XH1	F1N7C8
P16581	P98107
Q8WUS8	Q32L94
Q9UBU8	A0A3Q1LL49
Q9BYV6	E1BCL8
Q8N4S0	F1MEZ4
P78415	A2VDX5
Q8NEE6	A0A3Q1MCW5
Q96KS0	A0A3Q1LUX2
P38571	A0A3Q1M1X5
Q9H2G9	A0A3Q1NNB6
Q8N8A2	A0A3Q1MJY2
Q13515	Q28177
Q6IQ49	F1MWF8
P28222	F1MGM3
O14904	A0A3Q1MPF5
Q8WY64	A6QQD1
Q8IZV5	Q8HZT6
P08887	E1BJQ3
Q92519	Q5GLH2
P55081	Q5EA98
Q6PI47	Q29RJ0
Q8NFH8	F1MZ73
Q93098	F1MHG3
O95455	A6QLW2
P13945	P46626
O95684	F1N1J5
Q86WB7	F1MB34
Q86WB7	A2VE54
Q86YH6	A6QR05
Q7L8A9	E1B8J8
Q99962	Q08DX1
P15291	P08037
Q9BYV2	Q58D15
P55263	A0A3Q1MB39
O00401	Q95107
Q92847	B5U8Y5
Q96IY4	Q2KIG3
Q9H9V9	F1N531
Q7Z7M8	Q0VC83
P05121	A0A452DIJ9
P05121	P13909
Q8NCQ5	A0A452DIC0
P47974	F1MV20
Q9HCN4	A4FUD1
O15519	A0A3Q1MLX3
P03905	P03910
P59826	F1ME96
Q96MB7	Q17QR8
P08727	P08728
Q96RD7	D7R519
Q9H777	Q29RY4
Q8N9I9	A0A3Q1MJH0
Q8IYG6	G3MY33
Q14CZ8	A4FUY1
Q9Y371	Q32LM0
Q14154	F1N0X1
P19087	P04696
Q99705	F1MJD1
Q9H1C3	Q2HJ96
Q15131	Q2TBL8
O95264	G3N1Q1
Q7Z5V6	F1N1E1
O75563	Q32LP7
Q9UDV6	F1ME16
Q9Y6A5	A6QL93
O95503	A3KMW6
P62136	Q3T0E7
O00623	A4FUD4
Q96LX7	E1BL20
A2A288	E1BLF6
P56704	A0A3Q1LTW2
Q96MG8	A2VDP2
A8MTJ3	P0C7Q4
Q9H2F3	Q3MHF2
Q96FI4	F1MGF3
O43679	F6R129
Q6PIY5	A7MBF6
A6NEQ2	A7MB34
Q9UIR0	A6QNP4
Q9BWF2	G3MWU6
Q99733	F1N7X3
Q9BRK3	Q148M6
Q9BRK3	A0A452DII7
P08567	F1MRZ8
Q12912	F1N4X8
O60507	Q08DH2
P04075	A0A3Q1LMG1
Q8TCT9	A0A3Q1M7Q7
Q14558	Q08DW2
P28221	F1MMU1
Q7L591	E1BD53
Q9NSA0	E1BJ33
Q92917	E1BN14
Q8TBN0	Q2KJ58
Q9BSE2	Q5E9U3
Q8N8Q9	Q3SWX0
Q86X24	Q2KIY6
Q5T124	A0A3Q1M6F8
O94810	F1MMH1
O75953	A0A452DJB8
O75953	Q5BIP8
Q14376	A0A452DIP2
Q14376	Q3T105
Q155Q3	F1MD63
P11177	P11966
Q9Y574	E1BHZ2
Q9NQZ5	A0A3Q1LZP9
Q08AI8	F1MZV6
Q9Y662	E1BP03
Q86U17	A5PK77
Q9BQ04	Q2KIV3
Q8N357	A4IFE7
P13861	P00515
Q8IZT8	Q0VD21
P04004	Q3ZBS7
Q5T1Q4	F1MPY4
Q8NFQ8	A5PKH0
O60609	A4IFA9
P35575	Q29RU6
Q9P121	Q58DA5
O94889	A7MBJ7
Q96EP9	A0JNQ1
Q6W5P4	F1MJZ0
P37288	F6PV87
